database,0,0,0,0,0,0,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
24,BOND(NN),bonds,,,gdp,NN,51.1771995,47.43589744,43.70860927,39.04465213,34.17475728,33.77358491,36.33027523,38.7826087,47.54098361,46.30769231,44.71014493,44.68965517,51.83673469,62.77777778,70,76.77419355,80.24691358,80.35714286,80.57142857,80.21978022,81.28342246,81.53846154,83.00970874,84.57943925,88.34080717
25,"CAP(a01,UU)",capital stock,,,gdp,UU,35.68503179,35.51354833,35.28019354,34.78127615,34.08426884,34.55943192,34.54061585,34.21762693,33.51662592,33.05647517,32.83915062,33.03606623,32.93095021,34.96215307,34.11576059,33.64722813,33.75078618,34.1487516,34.13447881,34.46723826,34.76245721,34.65981113,34.41493694,34.64587888,34.66351602
26,"CAP(a01,NN)",capital stock,,,gdp,NN,35.68503179,35.51354833,35.28019354,34.78127615,34.08426884,34.55943192,34.54061585,34.21762693,33.51662592,33.05647517,32.83915062,33.03606623,32.93095021,34.96215307,34.11576059,33.64722813,33.75078618,34.1487516,34.13447881,34.46723826,34.76245721,34.65981113,34.41493694,34.64587888,34.66351602
27,"CAP(a02,UU)",capital stock,,,gdp,UU,260.0082337,260.1797171,260.4130719,260.9119893,261.6089966,261.1338335,261.1526496,261.4756385,262.1766395,262.6367903,262.8541148,262.6571992,262.7623152,260.7311124,261.5775048,262.0460373,261.9424793,261.5445138,261.5587866,261.2260272,260.9308082,261.0334543,261.2783285,261.0473866,261.0297494
28,"CAP(a02,NN)",capital stock,,,gdp,NN,260.0082337,260.1797171,260.4130719,260.9119893,261.6089966,261.1338335,261.1526496,261.4756385,262.1766395,262.6367903,262.8541148,262.6571992,262.7623152,260.7311124,261.5775048,262.0460373,261.9424793,261.5445138,261.5587866,261.2260272,260.9308082,261.0334543,261.2783285,261.0473866,261.0297494
29,CAPY(UU),capital stock,,,gdp,UU,12.5568307,12.92482802,13.38504833,13.78829203,14.0985208,13.45597212,12.66341735,12.75552987,13.25895843,13.8837371,13.91882527,13.30612132,12.33171063,10.2631269,10.25520844,10.73934353,11.46656855,11.77406646,12.28760655,12.37736343,12.23512003,12.41288621,12.64789898,12.50028109,12.44442135
30,CAPY(NN),capital stock,,,gdp,NN,12.5568307,12.92482802,13.38504833,13.78829203,14.0985208,13.45597212,12.66341735,12.75552987,13.25895843,13.8837371,13.91882527,13.30612132,12.33171063,10.2631269,10.25520844,10.73934353,11.46656855,11.77406646,12.28760655,12.37736343,12.23512003,12.41288621,12.64789898,12.50028109,12.44442135
31,CAPZ(UU),capital stock,,,gdp,UU,102.5247844,102.4307133,103.0354342,103.7199133,105.0336122,105.2599315,106.4399548,106.9454635,107.4260934,107.3056965,107.3418247,107.0181699,107.5623971,106.4317551,107.6900523,108.7836278,108.2440207,107.624683,107.4932153,107.581719,107.9334055,108.3399567,108.0475095,108.2086852,108.3013782
32,CAPZ(NN),capital stock,,,gdp,NN,102.5247844,102.4307133,103.0354342,103.7199133,105.0336122,105.2599315,106.4399548,106.9454635,107.4260934,107.3056965,107.3418247,107.0181699,107.5623971,106.4317551,107.6900523,108.7836278,108.2440207,107.624683,107.4932153,107.581719,107.9334055,108.3399567,108.0475095,108.2086852,108.3013782
33,CNPE(UU),HH demand for E,,,gdp,UU,2.135249135,2.131741055,2.140681977,2.150030004,2.17028983,2.178364403,2.202191776,2.209747568,2.213947358,2.207906666,2.207476906,2.204142504,2.216321505,2.210647702,2.22993202,2.246460782,2.235011356,2.224634833,2.220723172,2.223636437,2.231860819,2.238344901,2.231185207,2.235627287,2.237566105
34,CNPE(NN),HH demand for E,,,gdp,NN,2.135249135,2.131741055,2.140681977,2.150030004,2.17028983,2.178364403,2.202191776,2.209747568,2.213947358,2.207906666,2.207476906,2.204142504,2.216321505,2.210647702,2.22993202,2.246460782,2.235011356,2.224634833,2.220723172,2.223636437,2.231860819,2.238344901,2.231185207,2.235627287,2.237566105
35,CNPK(UU),HH cap services,,,gdp,UU,6.482185577,6.471535755,6.498678591,6.527057314,6.588562059,6.613074833,6.685409931,6.708347789,6.721097504,6.702759183,6.70145452,6.691331946,6.728304938,6.711080415,6.769623714,6.819801701,6.785043554,6.753542523,6.741667508,6.750511595,6.775479159,6.795163525,6.773428137,6.786913396,6.792799255
36,CNPK(NN),HH cap services,,,gdp,NN,6.482185577,6.471535755,6.498678591,6.527057314,6.588562059,6.613074833,6.685409931,6.708347789,6.721097504,6.702759183,6.70145452,6.691331946,6.728304938,6.711080415,6.769623714,6.819801701,6.785043554,6.753542523,6.741667508,6.750511595,6.775479159,6.795163525,6.773428137,6.786913396,6.792799255
